category|parent_category
0|75
1|1499
2|1082
3|3498
4|1623
5|2478
6|1582
7|3027
8|2364
9|3590
10|582
11|3686
12|3241
13|510
14|2160
15|1765
16|3786
17|844
18|1640
19|3772
20|2741
21|802
22|2246
23|3830
24|3550
25|1125
26|1790
27|1987
28|2516
29|3488
30|1682
31|3643
32|138
33|2364
34|3898
35|3159
36|678
37|2114
38|1277
39|235
40|2364
41|2901
42|2364
43|3884
44|2019
45|8
46|28
47|1603
48|3295
49|1853
50|1911
51|1911
52|3598
53|2066
54|1666
55|2061
56|710
57|2006
58|3159
59|1566
60|313
61|1968
62|3504
63|822
64|1154
65|638
66|2307
67|36
68|422
69|366
70|2061
71|3137
72|3703
73|1528
74|3056
75|2364
76|28
77|1258
78|612
79|3795
80|1245
81|1932
82|714
83|353
84|3096
85|3560
86|1968
87|2645
88|2707
89|918
90|1445
91|1582
92|1420
93|1631
94|1493
95|521
96|3870
97|2364
98|3849
99|2061
100|366
101|2433
102|126
103|2688
104|101
105|1599
106|3624
107|3772
108|600
109|2182
110|164
111|322
112|1929
113|2364
114|3080
115|3160
116|3035
117|2857
118|754
119|34
120|2857
121|2857
122|2857
123|2857
124|1582
125|2857
126|2364
127|2857
128|2857
129|1825
130|2098
131|3027
132|3598
133|2857
134|1712
135|3687
136|2475
137|638
138|3572
139|2018
140|1640
141|1778
142|2857
143|2857
144|3808
145|1256
146|431
147|2314
148|275
149|8
150|275
151|2364
152|3346
153|2988
154|75
155|40
156|1666
157|875
158|3565
159|1641
160|726
161|43
162|2266
163|3860
164|2061
165|1924
166|250
167|2413
168|3536
169|231
170|2212
171|714
172|2989
173|1379
174|665
175|275
176|3773
177|3772
178|1739
179|1062
180|3555
181|2087
182|3898
183|3556
184|1623
185|2212
186|2231
187|3656
188|1072
189|2475
190|336
191|1872
192|1929
193|908
194|3655
195|544
196|2364
197|2098
198|1520
199|3764
200|2999
201|1115
202|2098
203|665
204|2824
205|1951
206|3829
207|2917
207|3685
208|484
209|447
210|3451
211|2478
212|3337
213|1641
214|2845
215|378
216|425
217|686
218|2006
219|2457
220|2965
221|257
222|959
223|3235
224|2991
225|3549
226|2771
227|2045
228|3891
229|242
230|2509
231|2266
232|1968
233|3863
234|3616
235|1151
236|2054
237|3027
238|2364
239|2857
240|2933
241|2857
242|2364
243|2857
244|34
245|1227
246|661
247|3555
248|307
249|234
250|2364
251|2857
252|3898
253|2857
254|857
255|874
256|1968
257|2364
258|1852
259|2364
260|3555
261|1666
262|761
263|772
263|1666
264|2993
265|201
266|257
267|8
268|1899
269|772
270|1557
271|1227
272|3295
273|3232
274|2920
275|3898
276|1134
277|322
278|861
279|1599
280|802
281|2006
282|40
283|2824
284|600
285|3295
286|599
287|1735
288|1035
289|1682
290|1566
291|1852
292|2003
293|3027
294|2231
295|3311
296|3568
297|2086
298|3898
299|600
300|1134
301|2364
302|3787
303|3027
304|2401
305|2719
306|1420
307|686
308|600
309|2720
310|3207
311|556
312|761
313|1227
314|3192
315|3699
316|1543
317|3217
318|238
319|2231
320|600
321|714
322|3898
323|3792
324|3617
325|3481
326|2385
327|1178
328|2914
329|2917
329|3685
330|425
331|238
332|2231
333|3703
334|612
335|3719
336|3898
337|2364
338|1812
339|1175
340|600
341|1151
342|725
343|1106
344|2589
345|1987
346|2391
347|654
348|1787
349|1899
350|2364
351|2364
352|2280
353|2763
354|2307
355|2486
356|1303
357|2915
358|2302
359|2110
360|3841
361|582
362|510
363|490
364|2019
365|250
366|3898
367|1493
368|2086
369|1899
370|3898
371|3289
372|3863
373|2213
374|3849
375|2793
376|190
377|3726
378|3330
379|2924
380|2364
381|3898
382|484
383|3439
384|3123
385|370
386|150
387|1640
388|1511
389|1065
390|566
391|452
392|3337
393|1181
394|1739
395|2509
396|3565
397|1623
398|1089
399|366
400|1127
401|2495
402|2453
403|1565
404|413
405|3884
406|2160
407|1223
408|361
409|1837
410|1534
411|150
412|458
413|2364
414|3870
415|2066
416|2655
417|2264
418|1825
419|2282
420|3295
421|2045
422|3898
423|510
424|1175
425|3805
426|1162
427|495
428|113
429|126
430|2524
431|965
432|3898
433|2516
434|126
435|42
436|2110
437|2364
438|1582
439|2771
440|3383
441|3329
442|1774
443|2752
444|27
445|3037
446|1852
447|1480
448|3869
449|832
450|566
451|1631
452|79
453|2364
454|313
455|234
456|3764
457|101
458|2364
459|2575
460|510
461|1942
462|1084
463|3707
464|3752
465|1154
466|3508
467|3112
468|2566
469|3863
470|3230
471|3362
472|2369
473|119
474|3027
475|3808
476|2622
477|2364
478|3572
479|3699
480|1178
481|3726
482|2019
483|2027
484|875
485|3572
486|3794
487|361
488|3180
489|3343
490|3504
491|608
492|3508
493|3462
494|1875
495|257
496|3112
497|3329
498|441
499|3773
500|1852
501|3232
502|2812
503|2478
504|1089
505|1582
506|910
507|729
508|1928
509|2364
510|2231
511|1231
512|2999
513|2699
514|458
515|238
516|2364
517|696
518|3232
519|3898
520|3550
521|464
522|150
523|2763
524|3210
525|1439
526|2018
527|1178
528|1396
529|2182
530|380
531|510
532|1065
533|2597
534|1603
535|3898
536|252
537|3060
538|1134
539|1825
540|153
541|3764
542|3007
543|1582
544|1835
545|2012
546|1026
547|3565
548|1853
549|1987
549|3178
550|1061
551|2741
552|3060
553|3808
554|490
555|1520
556|162
557|2098
558|3465
559|1567
560|2584
561|728
562|2346
563|1666
564|162
565|1175
566|519
567|361
568|3288
569|3794
570|3556
571|1864
572|15
573|2410
574|3487
575|2364
576|2033
577|3096
578|965
579|257
580|3859
581|3617
582|34
583|1648
584|1014
585|3056
586|2752
587|1279
588|1882
589|3621
590|521
591|2364
592|2094
593|3624
594|3849
595|1666
596|2784
597|739
598|2845
599|3165
600|3898
601|431
602|1631
603|726
604|257
605|1787
606|2486
607|509
608|982
609|1277
610|2264
611|510
612|971
613|3230
614|2457
615|1197
616|910
617|3368
618|2280
619|3232
620|3772
621|3898
622|566
623|1305
624|3863
625|969
626|2364
627|2307
628|2388
629|472
630|441
631|2779
632|3037
633|2280
634|3232
635|238
636|113
637|380
638|3288
639|2793
640|50
641|1231
642|719
643|1837
644|2747
645|2364
646|959
647|2364
648|638
649|1852
650|2364
651|51
652|1258
653|729
654|2657
655|1147
656|2142
657|665
658|2486
659|2972
660|1520
661|1666
662|2509
663|1582
664|3027
665|2364
666|3590
667|3189
668|1147
669|1178
670|687
671|3624
672|432
673|1933
674|1899
675|3123
676|3699
677|3733
678|3898
679|661
680|1211
681|3764
682|259
683|1484
684|1666
685|1911
686|3898
687|1790
688|1147
689|1821
690|150
691|458
692|3819
693|708
694|2391
695|3096
696|2364
697|2364
698|3337
699|3703
700|3037
701|3707
702|2213
703|1623
704|1065
705|3772
706|521
707|252
708|3896
709|464
710|3233
711|2956
712|3137
713|2191
714|2231
715|1566
716|2534
717|516
718|1929
719|3174
720|1035
721|2882
722|2364
723|1346
724|2208
725|1735
726|582
727|893
728|2364
729|2369
730|22
731|3623
732|844
733|3096
734|2803
735|238
736|2771
737|181
738|2478
739|301
740|3643
741|2134
742|2364
743|2045
744|73
745|238
746|2803
747|857
748|3326
749|3687
750|378
751|1841
752|1709
753|591
