itemID|brand|feature_1|feature_2|feature_3|feature_4|feature_5|categories
22665|861|4|0|490|2|66|[2890, 855, 3908, 3909]
28640|1366|10|1|537|0|101|
13526|1090|10|0|511|0|0|[3270, 163, 284, 1694, 12, 3837, 2422, 3595, 3561, 3912, 3913, 3914, 3915]
21399|1090|10|1|511|0|0|[3270]
8504|768|4|1|484|0|66|[2470]
32122|5|4|1|491|0|66|
31956|1388|4|0|491|0|66|[236, 3625, 356]
6237|1492|4|1|491|3|66|[2658, 1686]
16971|288|6|0|314|0|45|[390, 2678, 1708]
18385|288|6|0|314|0|45|[390, 1708]
12775|322|1|0|536|0|78|[3222, 1170, 2296, 3751, 3399, 1772, 3917]
8285|734|10|0|510|3|132|[3259, 2144, 2984, 677, 3349]
16238|1180|10|0|288|0|87|[2942]
29828|1180|10|0|288|0|87|[2942]
13025|589|10|1|503|3|17|[1091, 2325]
18912|703|4|0|335|0|89|[474, 1330, 3471]
366|1366|10|1|537|0|101|
17432|1277|4|1|491|0|144|[1807]
4119|167|4|1|466|0|-1|
1954|1277|4|1|491|0|144|[1920, 3919]
14612|1277|4|1|491|0|66|
1373|1277|4|1|491|0|144|
2440|322|4|1|536|0|144|[1984]
6084|1040|6|1|454|0|173|[1373, 2022, 1581]
31733|1040|6|1|454|0|173|
19652|703|4|0|335|0|89|[1330, 332, 3471]
7002|752|4|1|31|3|140|[2797, 2865]
1504|752|4|1|31|3|140|[2797, 2865]
3914|1201|4|0|39|0|151|[2020, 327, 3920, 3921, 3922]
24190|1201|4|0|39|0|151|[2020, 327, 3920, 3921, 3922]
7811|1371|10|3|379|3|127|[614, 3916]
21408|440|10|1|503|0|37|
20836|1023|10|0|522|0|39|[1147, 2790, 1085, 1578, 3084, 668, 1097, 655]
23438|1023|10|2|522|0|39|[1147, 2790, 1085, 1578, 3084, 668, 655]
2722|1023|10|3|522|0|39|[1147, 2790, 1578, 3084, 668, 655]
32457|238|6|1|282|3|33|[3818, 2136]
27772|238|6|0|394|3|33|[3818, 2136, 3307, 3364]
26813|239|4|1|462|0|10|
19733|239|4|1|462|0|10|
30317|238|6|0|496|3|33|[3818, 2136, 31, 3925, 3926]
10963|454|10|0|62|3|141|[1055, 3927]
16219|62|10|1|503|3|152|[2833, 498]
16010|715|4|1|491|3|66|[1807, 2203, 2716]
29149|1379|6|1|444|0|117|[3169, 1920, 1136, 3923]
22075|1385|10|1|504|0|37|
22480|791|6|0|502|3|178|[3900, 3901, 3902, 3903, 3910, 3911, 3639, 1085, 3912, 3914, 3924, 3915]
21222|238|6|1|332|3|33|[3818, 2136]
17997|239|4|2|462|0|10|
29010|249|10|0|503|0|185|[3683, 2833, 1694, 2863, 1085, 1083, 522]
29270|239|4|1|462|0|10|
29191|238|6|1|496|3|33|[3818, 2136]
27816|1023|10|0|522|0|29|[1147, 2790, 1085, 1578, 3470, 1097, 655, 2209]
13585|239|4|1|452|0|12|[3254, 1646]
13331|238|6|0|496|3|33|[3818, 2136, 3926]
9577|239|4|1|452|0|12|[3254, 1646]
13653|238|6|0|9|3|33|[3818, 2136, 379, 3929, 3930]
8535|279|10|1|507|0|43|[585, 2731, 3639, 3931]
15811|238|6|2|496|3|33|[3818, 2136]
18781|239|4|1|462|0|10|[3827, 1611]
32346|361|10|1|243|3|45|[3107, 3540, 1529, 3469]
9206|1201|4|0|174|0|44|[1012, 1555, 1350]
25833|139|6|0|491|3|117|[1920, 3907, 3932]
12742|1201|4|0|174|0|44|[1012, 1555, 1350]
1033|193|10|0|507|0|17|[2131, 2091, 1421, 2632]
256|265|10|2|536|0|156|[300]
4232|598|4|1|491|0|66|[1807]
9860|598|4|1|491|0|66|[1807]
15336|239|4|1|452|0|12|
26013|1237|10|1|484|3|101|
25566|239|4|1|452|0|12|
19233|1237|10|1|484|3|101|[1608]
30464|239|4|1|462|0|10|
24529|239|4|1|462|0|10|[3827, 2269]
23188|239|4|1|462|0|10|[3827, 2269]
21393|368|1|1|474|3|78|
22819|239|4|1|462|0|10|
27720|239|4|1|462|0|10|
26970|227|4|1|491|0|66|
26024|227|4|0|491|0|66|[1807]
19595|1496|4|0|291|0|44|[3652, 30, 1060, 3268, 2104, 3935, 3936, 3937]
2392|315|10|3|509|0|132|[667]
25501|622|4|1|487|3|66|
29683|1445|3|0|-1|-1|-1|[664, 2209, 669, 1760, 1667, 3283, 3915]
18084|1383|10|0|503|0|17|[2833, 1083, 2325]
21573|398|4|0|491|3|66|[1807]
13420|939|4|1|469|0|-1|
7610|239|4|1|462|0|10|
819|1006|4|1|491|3|11|[3138]
31771|239|4|1|462|0|10|[3827, 3838]
9911|1111|4|0|82|3|66|[3900, 3901, 3902, 3903, 3910, 383, 1886]
252|979|4|0|484|3|16|[2473, 3900, 3905, 1816, 2209, 3226]
7674|242|10|1|503|0|1|[146, 1138]
9634|979|4|0|484|3|66|[2470, 3900, 3905, 1816, 2209]
11435|979|4|0|487|3|66|[914, 2473, 3900, 3905, 2808, 1816, 2209]
14289|734|10|0|521|3|45|[2733, 1688, 985, 3610, 1007]
20693|1250|4|1|462|0|10|
14790|622|4|1|491|3|66|
26906|765|4|0|497|0|177|[1591, 2312, 1283]
337|765|4|0|497|0|177|[1591, 1283]
27223|1278|8|2|468|0|-1|[3024, 3938]
31823|765|4|0|497|0|177|[1591, 1283]
8290|765|4|0|497|0|-1|[1591, 1283]
4469|1383|10|1|503|0|186|
4646|561|6|0|495|0|117|[2136]
22253|437|4|2|491|3|144|[1807]
13811|979|4|0|484|3|66|[3901, 3900, 3905, 3910, 1816, 2473, 2209]
2393|239|4|1|462|0|10|[3827, 3838]
615|239|4|1|462|0|10|[3827, 3838]
26890|265|4|1|491|3|66|
2409|979|4|2|485|3|66|[2470, 3900, 3905, 1608, 1816, 2209]
10319|239|4|1|462|0|10|[3827, 3838]
9323|1232|4|0|358|0|117|[2295]
599|10|9|1|514|0|-1|
4309|533|4|1|466|0|-1|[316]
30852|1232|4|0|358|0|117|[2295]
30942|1232|4|0|358|0|117|[2295, 1763]
31932|624|6|1|481|0|15|
17464|1300|10|1|503|0|122|[2005, 74, 1000, 3941]
25550|397|10|2|515|3|39|[1176, 536, 1361]
10223|397|10|1|491|3|38|[1920, 1807, 3907, 3942, 3932]
7705|1156|10|1|491|3|152|[3775, 1807, 3943]
10583|217|4|2|491|3|66|[3900, 3901, 3905, 3902, 3903, 3916]
15396|239|4|1|462|0|10|
5762|77|6|1|484|0|144|[1225]
21357|1452|10|1|534|3|45|[1045]
22644|379|4|1|490|0|144|
14008|322|10|1|536|0|19|
7257|207|4|0|28|0|175|[813, 3949]
23945|207|4|0|28|0|175|[813, 3949]
14611|239|4|1|462|0|10|
1259|207|4|0|28|0|175|[813, 3949]
27970|239|4|1|462|0|10|
4847|230|4|0|39|0|21|[327, 3920, 3922]
16267|239|4|1|462|0|10|
10829|64|6|1|207|0|45|
5398|64|4|1|455|0|174|[1373, 344, 2888]
21550|1156|4|1|495|0|33|
28821|495|6|1|507|0|122|[3529, 2428]
9409|1156|4|1|495|0|33|[2136]
25598|495|6|1|507|0|122|
1791|381|4|1|487|0|-1|
20576|1156|4|1|495|0|33|
27298|1156|4|2|34|0|33|[3775, 3950, 3929]
788|1156|4|1|495|0|33|
21015|1156|4|1|495|0|33|
31178|378|4|0|401|3|44|[2580, 2502, 3051, 169, 1879, 2612, 3668, 2547, 3047, 2738, 3514, 2259]
4448|219|4|1|536|0|144|[3278]
9436|1158|10|2|503|0|17|[2833, 2325]
16445|888|4|0|76|0|53|[1158, 855, 480, 3281, 3952]
29978|839|4|1|96|3|44|[136]
12927|839|4|1|96|3|44|[136]
4923|839|4|0|96|0|44|[136]
8839|1194|10|1|502|0|126|[3310]
21375|615|4|0|100|3|66|[2469]
32767|127|10|0|207|0|84|[74, 3941]
28819|127|10|2|207|0|84|[74, 3953, 3954]
16343|1383|10|0|509|0|-1|[667]
31990|453|4|1|458|0|-1|[2927, 3783, 478]
20145|756|10|0|398|0|87|[2256, 41, 1518]
4985|523|6|1|503|0|186|[3900, 3901, 3902, 3903, 411]
16538|523|6|0|503|0|184|[3900, 3901, 3902, 3903, 1229]
15809|453|4|1|458|0|-1|[2927, 3783, 3768, 478]
20808|323|10|3|468|3|132|
30109|303|4|0|468|0|108|[3024, 3907, 3955, 3956]
11979|598|4|1|484|0|66|
4376|1323|4|1|456|0|-1|
23676|453|4|1|458|0|-1|[2927, 3783, 478]
18744|1433|4|0|386|0|16|[614]
81|1416|10|1|465|0|133|[1425, 2878]
12137|523|10|0|503|0|17|[3900, 3901, 3902, 3903, 1184]
26808|1416|10|1|465|0|133|[3004]
13586|879|4|0|474|0|-1|[2402, 3223, 2163]
5044|796|6|1|491|3|46|
334|1492|4|1|491|3|66|[2203, 2716, 805]
12095|993|4|0|282|0|66|[662, 281]
10837|993|4|0|282|0|66|[662, 281, 1513]
4874|453|4|0|458|0|-1|[2927, 3783, 478]
31630|453|4|0|458|0|-1|[2927, 3783, 3768, 478]
7190|186|6|0|207|0|17|[74, 3957]
7228|1371|4|1|514|0|187|[1098, 849]
30977|249|10|1|503|0|17|[3683, 146, 1085, 1138]
32143|105|6|1|495|3|-1|
23181|1416|10|1|465|0|133|[260]
25048|221|6|2|500|3|116|[1021]
29485|105|6|1|495|3|-1|[1807]
24850|363|4|0|506|3|-1|[3755, 702]
22541|342|6|1|181|0|17|[585, 3960]
4675|105|6|1|495|3|-1|
9608|75|6|1|495|0|146|[2136]
16763|615|4|0|487|3|16|[1807]
158|342|6|0|181|0|17|[585, 3960]
26609|664|10|2|505|0|126|
26018|1126|10|3|533|0|45|[2194, 3029, 3928, 3903, 3910, 1045]
13358|1126|10|2|533|0|45|[2194, 3029, 3928, 3903, 3910, 1045]
355|105|6|1|495|3|146|[2136]
3031|1126|10|0|533|0|45|[1045, 2194, 3029]
8263|5|4|1|491|0|66|
31821|342|4|2|102|0|144|[1402, 1849]
31803|966|10|1|27|3|147|[2826, 813, 1390, 1760, 3915, 3914, 3961]
20945|966|10|0|27|3|147|[813, 1390, 1760, 1667, 3915, 3914, 3961]
22143|5|4|1|491|0|66|
4245|406|6|2|502|0|124|[3639]
13556|449|4|0|535|3|105|[2629, 3028]
3631|406|6|2|502|0|124|[3916, 983]
7459|1338|4|3|487|3|81|[914, 3530, 3903, 3916]
29401|449|4|0|535|3|105|[2629, 3028]
10820|1111|10|1|487|3|152|[2951]
25654|322|6|1|536|0|46|[2756]
30633|569|4|0|22|0|151|[545, 3586, 3962, 3963]
6357|569|4|0|22|0|151|[1032, 3962]
20469|993|10|0|197|3|122|[74, 3964]
13360|342|10|1|181|0|84|[585, 2731, 21, 3965]
19591|342|10|0|181|0|132|[585, 2731, 1459, 3965]
32356|366|6|0|498|0|13|[2035, 2691, 862]
2413|671|10|1|340|0|84|[562, 2389, 141, 1701]
29939|1368|10|3|341|3|126|[1212, 3155, 3916]
29785|342|6|0|181|3|116|[585, 3966]
4843|19|10|1|502|3|45|[2005, 1000, 3310, 3941, 3424, 2995, 2119]
7783|1010|10|0|522|0|29|[2790, 1203]
26351|19|10|1|502|3|178|[3310, 3639, 3967, 2995]
22279|150|10|2|491|0|101|[1729]
24462|105|6|1|495|3|-1|[1617, 2312]
5306|564|6|0|495|0|33|[3900, 3910, 3903, 2136]
7713|1073|10|0|503|2|9|[1772, 3968]
27259|322|6|1|536|0|46|[1221]
5383|362|4|1|455|3|166|
21069|175|6|1|496|0|33|[2136]
29318|810|10|1|507|0|17|[3858, 2091, 2632]
29277|127|10|0|519|0|8|[3639, 1949]
21960|31|4|1|487|0|44|[3138]
24135|77|6|1|491|0|117|[1807]
17922|783|10|0|502|3|45|[2833, 3779]
15702|167|4|1|467|0|-1|[464, 3901]
31291|19|10|2|522|3|17|[3817, 2790, 3670, 1793]
6625|622|6|2|491|3|117|
5402|1111|4|0|487|0|144|[2751, 3138]
10602|1111|4|0|487|0|144|[699, 2751, 3138]
26465|1073|10|0|503|2|9|[1772, 3968]
19415|580|5|1|514|0|-1|[1098, 3265]
2|464|4|1|484|0|66|
1905|77|4|1|491|0|66|[1807]
27272|240|4|1|466|0|-1|
24999|1366|10|2|537|0|1|
21060|1180|4|3|322|0|144|[30, 692, 3268]
31097|19|10|0|503|3|85|[3310, 870, 2995, 3654, 3970, 3934, 3971, 3972, 3424]
13421|1180|4|3|322|0|144|[30, 3788, 1060, 3268, 2104, 3937]
2568|74|6|1|491|0|117|[1807]
32302|1429|4|0|101|3|144|[3900, 3901, 3902, 3903, 1462]
22399|219|4|0|538|-1|144|[3900, 3901, 3902, 3903, 3910, 2253]
5215|219|4|0|538|-1|144|[3900, 3901, 3902, 3903, 3910, 2253]
10998|1156|6|1|495|0|146|[2136]
18334|325|6|0|168|3|122|[669, 3973]
4943|615|10|0|503|0|17|[870, 2325]
10911|615|10|0|503|0|17|[870, 2325]
24795|325|6|0|168|3|122|[664, 669, 3915, 3914, 2209, 3973]
17539|325|6|0|168|3|122|[669, 3973]
19583|604|6|1|491|0|-1|
30618|941|4|1|87|3|52|[2786, 3974]
3647|604|6|1|491|0|-1|
18624|1027|10|1|503|0|9|[578, 1889]
19112|82|10|3|513|0|39|
28264|771|10|2|502|0|45|[3262, 3779]
31600|441|4|1|507|0|143|[2091, 3303]
4340|716|4|1|466|0|-1|[2722, 3625, 3807, 3910, 3911, 3975]
18297|815|4|2|510|0|-1|[824, 345]
18883|1156|6|1|495|0|146|[2136]
7381|615|10|0|503|0|17|[578, 870, 2368]
17404|1010|10|0|503|0|85|[2833, 3593, 517, 3915, 3976, 3090, 3424, 3913]
1584|703|10|1|515|0|84|[1176, 732, 1003, 17, 3916]
27721|703|10|2|515|0|84|[1176, 732, 1003, 17, 3910]
28399|604|6|1|491|0|-1|
29933|827|10|0|358|0|95|[1300, 2565, 3173]
28434|703|10|1|515|0|84|[1176, 732, 1003, 17, 3910, 3911]
20736|604|6|2|479|0|-1|
28285|193|4|0|453|0|108|[3254, 204, 2869, 2754]
23921|604|6|1|491|0|-1|[1729]
16352|193|4|0|453|0|108|[3254, 204, 2869, 397]
26891|193|4|0|453|0|108|[3254, 204, 679, 2869, 397, 3977]
11767|77|4|1|491|0|66|
24738|77|4|1|491|0|66|[1807]
21400|430|4|0|39|3|140|[327, 3978]
11113|1295|6|1|495|0|33|[2136]
18320|703|10|0|515|0|84|[1176, 732, 1003, 17, 3910]
7091|703|10|3|515|0|84|[1176, 732, 1003, 17, 3916]
17489|20|10|0|276|0|167|[3259, 88]
5065|356|4|2|514|0|187|[2732, 2912]
10032|356|4|2|514|0|187|[2732, 2912]
14886|356|4|2|514|0|187|[2732, 2912]
31474|322|10|1|536|0|19|[1022]
7337|322|10|2|536|0|19|
28209|389|4|1|468|0|76|[3867, 3024, 3980]
19934|1163|8|0|448|0|39|[2561, 3410, 2085]
25262|322|6|1|536|0|46|
17633|799|10|3|503|0|17|[3910, 3911, 1091, 1083]
6358|1100|4|1|514|0|187|
3860|1249|4|1|530|0|-1|[3005, 3981]
28265|580|10|0|515|0|132|[3128, 1604, 533]
23895|1277|4|1|491|0|144|
32068|1295|6|1|495|0|33|[2136]
13294|262|10|2|491|0|156|[1807]
29773|1295|6|1|495|0|33|[2136]
3215|1295|6|1|495|0|33|[2136]
13039|430|4|2|87|3|73|[2786, 3982]
10098|1295|6|1|495|0|33|[2136]
21657|748|10|0|508|0|8|[2605, 2308, 308, 3688, 2961, 284, 12]
30117|1368|4|0|474|0|-1|[1212, 1946, 562, 141]
17382|1295|6|1|495|0|33|[2136]
17623|163|4|1|474|3|159|[2722, 3625, 2049, 3981]
29897|356|4|2|514|0|187|[178, 2732, 3682, 2912, 3464]
31648|484|10|0|503|0|180|[1091, 1651]
20998|356|4|0|514|0|187|[178, 2732, 3682, 2912, 3464]
6950|251|4|1|514|0|-1|[1098, 3900, 3903, 2866, 2794, 2366, 1048, 3265, 198, 536, 3856]
6212|622|4|1|491|3|144|[1980]
24104|484|10|1|503|0|180|[3916]
24229|150|4|2|486|0|144|
29275|356|4|2|514|0|187|[178, 2732, 3682, 2912, 3464]
68|356|10|0|515|0|188|[450, 1085, 1903]
7682|82|4|1|491|0|66|[1920, 3983]
9063|356|4|0|513|0|-1|[1998, 1307]
16473|175|6|2|495|3|33|[2136, 683]
31712|356|4|2|513|0|-1|[1998, 1307]
13193|356|4|2|513|0|-1|[1998, 1307]
4534|438|10|1|240|3|84|
10120|8|4|1|462|0|10|[1505, 3827, 1453, 2269]
5417|1093|4|1|491|3|144|[1033, 3984]
11653|1216|6|1|536|0|46|[3601]
5640|452|4|0|510|0|-1|[3005, 807, 2298]
960|1216|6|1|536|0|46|[3393]
27920|1180|4|0|398|0|129|[2256, 3915, 41, 1518, 3912, 3914]
28896|772|10|1|503|0|17|[2833, 146, 1138]
25435|519|4|1|491|0|144|
23534|1180|4|0|398|0|129|[2256, 2105, 3915, 41, 1518, 3912, 3914, 3924]
23962|519|4|1|491|0|144|
678|1295|6|1|495|0|33|[2136]
31628|1246|6|2|536|0|46|
15618|745|10|0|503|0|17|[1973, 2372, 2995, 3654, 3912, 3914, 3985]
31655|267|4|0|514|0|187|[798, 2732, 1449, 1383, 1844, 2528]
21239|453|4|0|474|0|-1|[281, 2927, 3783, 995, 3445]
30795|745|10|0|503|0|17|[1973, 2372, 2995, 3654, 3912, 3985]
11575|267|4|0|514|0|187|[798, 2732, 1449, 1383, 1844, 2528]
27569|1036|4|2|430|0|159|[2722, 3625, 2049]
21620|1295|6|1|495|0|33|[2136]
27445|1295|6|1|495|0|33|[2136, 3903]
3408|1429|6|0|302|3|45|[2629, 1920, 1772, 1505, 1760, 2925, 1124, 3987, 3988]
7189|549|4|2|245|3|108|
7867|406|10|0|503|0|184|[3704, 146, 1789, 1138, 1229]
26914|326|4|1|487|0|66|[1402, 1849]
16236|326|4|1|487|0|66|[1402, 1849]
6147|618|4|0|321|0|144|[2341, 777, 529, 30, 1685, 1059, 3268, 2104, 3284, 3945, 3944, 3937]
31736|484|10|3|503|0|185|[3424, 428, 2995, 1164, 3916]
6732|287|10|0|503|0|122|[74, 669, 69, 1124, 803, 3702, 1775, 1114, 147, 3989]
13839|1247|10|1|505|0|126|
16356|451|4|1|491|0|66|
24751|827|4|0|370|3|89|[3267]
18401|827|6|0|535|3|121|[3307]
24391|1180|4|1|128|3|66|[1033, 3990]
9099|1180|4|0|128|3|66|[1033, 3389, 3990]
26252|513|4|1|491|0|66|
21544|1163|8|1|448|0|39|[2561, 3410]
18405|1180|4|0|128|3|66|[1033, 3990]
31037|1163|10|0|448|0|39|[2561, 3410]
12367|37|10|1|536|0|19|
5933|322|6|1|536|0|46|
5367|1295|6|1|495|0|33|[2136]
29819|1004|10|3|358|3|95|[2434, 2389, 2443, 1650, 3625]
12123|1058|10|0|491|0|101|[3916, 3613, 1077]
6388|1295|6|1|495|0|33|
2447|196|10|0|503|0|17|[2790, 2014]
12550|783|10|0|502|3|45|[3910, 3911, 3262, 2287]
28730|1295|6|2|495|0|33|[2136]
29516|206|10|1|511|0|101|
25442|1295|6|1|495|0|33|[2136]
30128|206|10|1|511|0|101|
17902|1247|6|1|502|0|124|[3790]
2668|366|6|0|497|0|13|[2035, 2691, 862]
7944|771|10|0|503|0|17|[1775, 3934]
27406|322|6|1|536|0|46|[1221]
66|196|10|2|507|0|17|[2197]
2416|514|4|0|474|0|-1|[2219]
23978|167|4|1|470|0|82|[3171, 3407]
5145|322|6|1|536|0|46|[1221]
22795|588|4|0|455|3|166|[3991, 1630]
12864|1295|6|1|495|0|33|[2136]
21830|588|4|2|455|3|166|[3991, 1630]
5892|1295|6|1|495|0|33|[2136]
6693|1295|6|1|495|0|33|[2136]
30863|150|10|1|507|0|122|[2091, 1732]
31622|150|10|1|507|0|122|
17704|1295|6|1|495|0|33|[2136]
18751|1366|10|2|537|0|1|
8796|1337|10|0|359|0|156|
3407|1136|10|1|503|0|122|
19983|1136|10|2|503|0|122|
6667|150|4|1|474|0|108|[3068]
30874|147|4|0|491|3|89|[218, 2767]
31346|823|4|0|521|0|-1|
15648|1366|10|1|537|0|1|[2834]
23658|150|4|1|468|0|108|[3024, 3955]
20082|823|4|1|474|0|-1|
32213|0|6|0|308|3|17|[1772, 3882, 3993]
19271|160|10|2|489|0|28|
26931|771|10|3|502|0|17|[318, 3262, 2032, 2334]
32689|588|4|1|450|3|76|[344, 773]
11225|770|10|0|505|0|84|[2636, 1071]
19817|847|4|0|310|3|151|[2569, 3994]
12098|847|4|2|310|3|151|[2569, 3994]
31742|1295|6|1|495|0|33|[2136]
27905|1295|6|0|495|0|33|[2136]
20639|847|4|2|310|3|151|[2569, 3994]
15113|1295|6|1|495|0|33|[2136]
30812|1295|6|1|495|0|33|[2136]
27982|1383|1|2|513|0|78|[3900, 3901, 3904, 3903, 340]
26469|150|10|1|503|0|45|
10747|1295|6|1|495|0|33|
6493|150|10|2|503|0|17|
32703|123|4|1|33|3|66|[3775, 3995]
9106|123|4|1|33|3|66|[3775, 3995]
9657|150|10|2|503|0|9|[1772, 3968]
18842|782|10|3|502|0|178|[3639, 3916]
8522|221|10|1|503|3|137|[2833, 2032]
31185|1141|4|1|533|0|75|[2074, 2175, 3688, 1358, 3916]
19343|320|10|1|509|0|132|[667]
11822|10|4|1|244|0|153|
29183|1218|10|1|503|0|85|[3424]
28143|823|4|2|520|0|-1|
3869|587|10|1|536|3|156|[300]
13211|998|10|0|416|3|141|[2580, 1843]
24010|934|4|1|487|0|66|
3658|782|10|1|502|0|185|[3639, 3916]
29215|1200|4|1|465|0|-1|[2643, 3199, 748]
21898|614|10|1|503|0|-1|[3229, 1755]
22824|680|10|0|515|0|188|[3799]
10802|810|10|1|506|0|9|[3260, 3755, 1889]
12222|782|10|0|502|0|185|[3639]
13746|1093|4|1|489|0|66|
22018|671|10|0|198|0|8|[3639]
3948|1331|10|2|491|3|39|[3903, 3910, 3911, 385]
8893|827|4|0|363|3|89|[1250, 3836]
22826|612|10|3|503|0|77|[146, 1138]
14977|748|4|0|468|0|108|[3024, 1146, 3955, 3956, 3997]
3288|1295|10|1|511|0|101|
31410|612|10|1|503|0|77|[146, 1138]
29200|257|10|1|536|0|156|[300]
2628|792|10|0|444|3|84|[3910, 3911, 789, 3961, 3999]
18891|612|10|0|503|0|77|[146, 1138]
