"feature_5","Sum(order)","feature5OrderRatio","orderSumAllItems"
-1,101564,0,1499894
0,3029,0.0020194760429737037,1499894
1,2847,0.0018981341348121934,1499894
2,7,0.000004666996467750388,1499894
3,34683,0.023123634070140956,1499894
4,70,0.00004666996467750388,1499894
5,739,0.0004927014842382195,1499894
6,3003,0.0020021414846649165,1499894
7,1386,0.0009240653006145768,1499894
8,4798,0.003198892721752337,1499894
9,14994,0.00999670643392133,1499894
10,1241,0.0008273918023540331,1499894
11,4635,0.003090218375431864,1499894
12,8844,0.005896416680112061,1499894
13,15636,0.010424736681392151,1499894
14,6,0.000004000282686643189,1499894
15,51,0.00003400240283646711,1499894
16,20107,0.013405613996722436,1499894
17,118310,0.07887890744279262,1499894
18,,,1499894
19,712,0.00047470021214832516,1499894
20,1067,0.0007113836044413805,1499894
21,2419,0.0016127806364983125,1499894
22,39,0.000026001837463180733,1499894
23,56,0.0000373359717420031,1499894
24,6472,0.004314971591325787,1499894
25,3030,0.0020201427567548107,1499894
26,557,0.0003713595760767094,1499894
27,46,0.00003066883393093112,1499894
28,427,0.00028468678453277363,1499894
29,4569,0.0030462152658787887,1499894
30,229,0.0001526774558735484,1499894
31,1105,0.000736718728123454,1499894
32,279,0.00018601314492890832,1499894
33,6204,0.004136292297989058,1499894
34,272,0.00018134614846115793,1499894
35,30,0.000020001413433215946,1499894
36,2864,0.0019094682690910158,1499894
37,1541,0.0010274059366861925,1499894
38,9717,0.0064784578110186454,1499894
39,21840,0.01456102897938121,1499894
40,309,0.00020601455836212425,1499894
41,452,0.0003013546290604536,1499894
42,4,0.000002666855124428793,1499894
43,1646,0.0010974108837024483,1499894
44,88701,0.059138179097989595,1499894
45,56535,0.037692663614895455,1499894
46,13007,0.008671946150861327,1499894
47,36,0.000024001696119859136,1499894
48,15586,0.010391400992336791,1499894
49,3811,0.0025408462197995326,1499894
50,8,0.000005333710248857586,1499894
51,3294,0.002196155194967111,1499894
52,7168,0.004779004382976397,1499894
53,23574,0.015717110675821093,1499894
54,16,0.000010667420497715173,1499894
55,50,0.000033335689055359915,1499894
56,1,0.0000006667137811071983,1499894
57,6,0.000004000282686643189,1499894
58,358,0.00023868353363637698,1499894
59,11,0.0000073338515921791804,1499894
60,1197,0.0007980563959853163,1499894
61,1833,0.0012220863607694944,1499894
62,1126,0.0007507197175267052,1499894
63,288,0.0001920135689588731,1499894
64,716,0.00047736706727275396,1499894
65,3742,0.002494842968903136,1499894
66,54109,0.03607521598192939,1499894
67,820,0.0005467053005079026,1499894
68,1060,0.0007067166079736301,1499894
69,383,0.00025535137816405694,1499894
70,3081,0.002054145159591278,1499894
71,509,0.0003393573145835639,1499894
72,2131,0.0014207670675394394,1499894
73,1072,0.0007147171733469165,1499894
74,3811,0.0025408462197995326,1499894
75,2918,0.0019454708132708046,1499894
76,12491,0.008327921839810013,1499894
77,2732,0.0018214620499848657,1499894
78,9279,0.006186437174893693,1499894
79,474,0.00031602233224481196,1499894
80,532,0.00035469173154902944,1499894
81,23583,0.015723111099851056,1499894
82,1056,0.0007040497528492014,1499894
83,1163,0.0007753881274276715,1499894
84,75841,0.05056423987295102,1499894
85,19791,0.01319493244189256,1499894
86,341,0.0002273493993575546,1499894
87,10164,0.006776478871173563,1499894
88,1596,0.0010640751946470884,1499894
89,22031,0.014688371311572685,1499894
90,2339,0.0015594435340097366,1499894
91,4255,0.0028368671386111285,1499894
92,1292,0.0008613942051905001,1499894
93,86,0.00005733738517521905,1499894
94,434,0.000289353781000524,1499894
95,55081,0.03672326177716559,1499894
