"itemID","OneTimeCustomers","RepeatPurchaseCustomers","RepeatCustomerProbability"
0,1,0,0
1,7,1,0.125
2,1,0,0
3,4,0,0
4,5,0,0
5,2,0,0
6,44,18,0.2903225806451613
7,1,0,0
8,18,1,0.05263157894736842
9,53,23,0.3026315789473684
10,3,0,0
11,1,1,0.5
12,20,1,0.047619047619047616
14,6,1,0.14285714285714285
15,2,0,0
16,1,0,0
17,2,0,0
18,1,0,0
19,1,0,0
20,2,0,0
21,11,2,0.15384615384615385
22,1,0,0
23,10,7,0.4117647058823529
24,1,0,0
25,4,0,0
26,13,1,0.07142857142857142
27,10,0,0
28,5,0,0
29,1,0,0
30,81,20,0.19801980198019803
32,1,0,0
33,21,0,0
34,210,47,0.1828793774319066
35,2,0,0
36,0,1,1
37,2,0,0
38,3,0,0
39,4,0,0
40,65,14,0.17721518987341772
41,3,1,0.25
42,1,0,0
43,2,0,0
44,38,13,0.2549019607843137
45,6,0,0
46,1,0,0
47,45,10,0.18181818181818182
48,1,1,0.5
49,46,1,0.02127659574468085
50,2,0,0
51,1,0,0
52,30,4,0.11764705882352941
53,6,0,0
54,0,1,1
55,1,0,0
56,14,5,0.2631578947368421
57,3,0,0
58,14,3,0.17647058823529413
59,62,11,0.1506849315068493
60,1,0,0
61,20,0,0
62,1,0,0
63,14,1,0.06666666666666667
64,1,0,0
65,14,0,0
66,1,0,0
67,3,0,0
68,14,1,0.06666666666666667
69,2,1,0.3333333333333333
70,24,3,0.1111111111111111
71,4,0,0
72,4,0,0
73,3,0,0
74,24,2,0.07692307692307693
75,3,0,0
76,34,7,0.17073170731707318
77,5,2,0.2857142857142857
78,1,0,0
79,2,0,0
80,14,2,0.125
81,4,0,0
82,23,1,0.041666666666666664
83,2,0,0
84,6,0,0
85,11,0,0
86,4,0,0
87,6,1,0.14285714285714285
88,1,0,0
89,3,0,0
90,2,0,0
91,297,16,0.051118210862619806
92,2,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,35,0,0
98,2,0,0
99,1,0,0
100,4,0,0
101,1,0,0
102,367,44,0.1070559610705596
103,1,0,0
104,1,0,0
106,2,0,0
107,3,1,0.25
108,8,1,0.1111111111111111
109,5,0,0
110,246,9,0.03529411764705882
111,8,1,0.1111111111111111
112,2,0,0
113,4,1,0.2
114,2,0,0
115,7,0,0
116,1,0,0
117,5,0,0
118,1,0,0
119,1,0,0
120,60,0,0
121,23,4,0.14814814814814814
122,12,1,0.07692307692307693
123,2,0,0
124,3,0,0
125,6,0,0
126,0,1,1
127,1,0,0
