"userID","itemID","Mean(date&time diff)","Sum(order)","Mean(TimeDifferencePerOrder)"
0,6446,17.5,2,8.75
0,20664,63,3,21
0,28231,22,4,5.5
1,23055,10,3,3.3333333333333335
2,23476,70,3,23.333333333333332
2,30829,56,2,28
3,4135,30.5,2,15.25
3,10519,25.5,2,12.75
3,18559,42.666666666666664,5,8.533333333333333
3,23687,35.5,2,17.75
3,23738,65.5,8,8.1875
3,28919,58.5,2,29.25
4,24047,42,4,10.5
7,32242,21,3,7
8,29801,102.5,2,51.25
9,10286,92.5,4,23.125
9,18270,92.5,2,46.25
11,10958,30,2,15
11,12543,19,4,4.75
11,16303,70,3,23.333333333333332
11,24607,30,2,15
12,2113,49.666666666666664,4,12.416666666666666
12,5484,99.5,4,24.875
12,6723,43.33333333333333,3,14.444444444444443
12,9649,15,2,7.5
12,14005,28,4,7
12,23020,77,2,38.5
13,2690,50.25,4,12.5625
13,4650,100.5,2,50.25
13,5260,100.5,4,25.125
13,9523,20,2,10
13,15335,55.5,2,27.75
13,18478,17.5,2,8.75
13,18754,47.6,7,6.8
13,25045,101.5,2,50.75
13,31409,67,3,22.333333333333332
15,1299,31.75,4,7.9375
15,1724,13,7,1.8571428571428572
15,3535,108,4,27
15,6893,31,2,15.5
15,8822,18.5,2,9.25
15,20968,27.25,4,6.8125
15,21433,18.5,4,4.625
16,5348,41.5,13,3.1923076923076925
16,23476,42,2,21
17,2783,58.5,2,29.25
17,18630,63.5,4,15.875
17,21078,31,2,15.5
17,26645,52,6,8.666666666666666
17,28403,10.5,2,5.25
18,7042,51.5,2,25.75
18,9352,51.5,2,25.75
20,8272,39.666666666666664,3,13.222222222222221
21,1782,59,9,6.555555555555555
21,4130,32,3,10.666666666666666
21,5654,72,2,36
21,27150,72,2,36
22,1782,9.5,2,4.75
22,24175,47,6,7.833333333333333
22,29660,47,3,15.666666666666666
23,20164,75.5,2,37.75
24,1322,82,2,41
24,5540,42,2,21
24,7894,29.375000000000004,8,3.6718750000000004
24,11307,23.666666666666664,4,5.916666666666666
24,11340,53,5,10.6
24,15649,68,4,17
24,17513,40.8,19,2.1473684210526316
24,22269,26.111111111111107,16,1.6319444444444442
24,26709,25.666666666666664,3,8.555555555555555
24,29820,25,3,8.333333333333334
24,31774,68,3,22.666666666666668
25,26413,25,5,5
29,29463,29.5,2,14.75
31,13558,27,2,13.5
31,31922,27,2,13.5
34,5349,65,2,32.5
34,10332,22,2,11
34,21146,39.5,4,9.875
34,31244,49.33333333333333,3,16.444444444444443
35,25739,66.5,2,33.25
36,14424,55.5,2,27.75
39,19267,72,6,12
39,19768,48,7,6.857142857142857
39,20131,19.5,2,9.75
39,24716,63,2,31.5
40,2910,15,3,5
40,4325,23,2,11.5
40,7976,42.666666666666664,9,4.7407407407407405
40,16059,64,2,32
40,17849,15,3,5
41,4312,29.5,2,14.75
41,11088,33.75,5,6.75
41,21548,30,2,15
41,30759,63.5,2,31.75
41,31690,58,17,3.411764705882353
43,12064,17.999999999999996,18,0.9999999999999998
43,15610,18.5,2,9.25
43,19420,67,2,33.5
43,20594,30.8,6,5.133333333333334
43,21629,99,2,49.5
43,30349,75.66666666666666,3,25.222222222222218
43,30642,38,2,19
44,11950,9.5,6,1.5833333333333333
45,461,74.5,2,37.25
45,8935,110,2,55
46,10640,62,2,31
46,27943,54.666666666666664,3,18.22222222222222
46,29307,62,2,31
46,31083,54.666666666666664,3,18.22222222222222
49,11251,55,3,18.333333333333332
49,19959,55,2,27.5
50,29657,49.5,5,9.9
51,27479,14.5,2,7.25
53,9851,34.5,2,17.25
53,23669,34.5,2,17.25
54,16362,40,3,13.333333333333334
55,15307,53.666666666666664,3,17.88888888888889
55,24195,80.5,2,40.25
57,543,0.5,2,0.25
57,10397,50.666666666666664,7,7.238095238095238
57,12505,17,2,8.5
57,18181,14.5,4,3.625
57,19081,20.5,5,4.1
58,23241,72.66666666666666,7,10.38095238095238
59,461,108,3,36
60,20403,44,2,22
60,22701,12.5,2,6.25
61,4648,18.333333333333332,3,6.111111111111111
61,20131,38.5,7,5.5
62,28943,17,2,8.5
62,32204,8.5,3,2.8333333333333335
63,1576,11,2,5.5
63,2763,45,6,7.5
63,10145,7,2,3.5
63,11155,24,7,3.4285714285714284
63,19370,59,2,29.5
63,21195,17,4,4.25
63,21350,33.333333333333336,31,1.0752688172043012
63,23148,23.5,2,11.75
63,23476,41,3,13.666666666666666
63,23914,47,4,11.75
64,24615,36,2,18
65,20748,49,5,9.8
67,1732,81,2,40.5
67,19613,81,2,40.5
68,10049,59.33333333333333,8,7.416666666666666
69,751,14.5,2,7.25
69,1970,7,3,2.3333333333333335
69,5349,63,2,31.5
69,9198,44,2,22
69,26503,77.5,3,25.833333333333332
74,4899,68.5,2,34.25
74,17809,49.5,2,24.75
75,8538,58,5,11.6
