"Sum(order)","category","parent_category"
35,0,75
23,1,1499
2479,2,1082
12,3,3498
2184,4,1623
726,5,2478
14,6,1582
2904,7,3027
,8,2364
,9,3590
,10,582
,11,3686
4996,12,3241
2564,13,510
933,14,2160
,15,1765
,16,3786
11504,17,844
209,18,1640
55,19,3772
16,20,2741
533,21,802
,22,2246
28,23,3830
1,24,3550
,25,1125
1610,26,1790
,27,1987
,28,2516
581,29,3488
88370,30,1682
340,31,3643
100,32,138
1071,33,2364
,34,3898
241,35,3159
,36,678
77,37,2114
618,38,1277
,39,235
,40,2364
7351,41,2901
,42,2364
,43,3884
103,44,2019
,45,8
3391,46,28
15601,47,1603
10778,48,3295
270,49,1853
,50,1911
,51,1911
38,52,3598
148,53,2066
,54,1666
,55,2061
849,56,710
284,57,2006
,58,3159
3025,59,1566
119,60,313
50,61,1968
,62,3504
176,63,822
,64,1154
472,65,638
,66,2307
67,67,36
736,68,422
809,69,366
17,70,2061
828,71,3137
471,72,3703
,73,1528
40205,74,3056
,75,2364
686,76,28
27,77,1258
1265,78,612
,79,3795
442,80,1245
4833,81,1932
2072,82,714
491,83,353
4,84,3096
27,85,3560
84,86,1968
3066,87,2645
7157,88,2707
1661,89,918
3170,90,1445
31,91,1582
170,92,1420
43,93,1631
62,94,1493
9,95,521
29,96,3870
,97,2364
1500,98,3849
647,99,2061
,100,366
,101,2433
1104,102,126
8,103,2688
74,104,101
4193,105,1599
,106,3624
69,107,3772
160,108,600
3312,109,2182
375,110,164
351,111,322
278,112,1929
,113,2364
252,114,3080
676,115,3160
102,116,3035
,117,2857
906,118,754
,119,34
,120,2857
,121,2857
,122,2857
,123,2857
8,124,1582
,125,2857
,126,2364
,127,2857
,128,2857
,129,1825
136,130,2098
155,131,3027
95,132,3598
,133,2857
26,134,1712
76,135,3687
3393,136,2475
554,137,638
,138,3572
264,139,2018
,140,1640
92,141,1778
,142,2857
,143,2857
508,144,3808
14,145,1256
9549,146,431
5759,147,2314
,148,275
1,149,8
1112,150,275
,151,2364
3544,152,3346
,153,2988
15,154,75
591,155,40
652,156,1666
,157,875
2327,158,3565
,159,1641
843,160,726
1684,161,43
,162,2266
3015,163,3860
,164,2061
,165,1924
209,166,250
1266,167,2413
654,168,3536
7653,169,231
1682,170,2212
484,171,714
,172,2989
340,173,1379
50,174,665
318,175,275
102,176,3773
1324,177,3772
8005,178,1739
1511,179,1062
39,180,3555
,181,2087
1,182,3898
,183,3556
3297,184,1623
1,185,2212
3245,186,2231
122,187,3656
2495,188,1072
3080,189,2475
,190,336
5890,191,1872
1118,192,1929
,193,908
798,194,3655
4184,195,544
8382,196,2364
24,197,2098
416,198,1520
4906,199,3764
,200,2999
,201,1115
258,202,2098
,203,665
2724,204,2824
477,205,1951
2722,206,3829
718,207,2917
,207,3685
718,207,2917
,207,3685
80,208,484
280,209,447
1052,210,3451
1972,211,2478
567,212,3337
270,213,1641
598,214,2845
,215,378
3171,216,425
3127,217,686
11056,218,2006
6479,219,2457
650,220,2965
96,221,257
,222,959
,223,3235
5,224,2991
,225,3549
344,226,2771
617,227,2045
15,228,3891
17,229,242
454,230,2509
,231,2266
,232,1968
,233,3863
,234,3616
,235,1151
2801,236,2054
11034,237,3027
,238,2364
6,239,2857
492,240,2933
,241,2857
,242,2364
,243,2857
12,244,34
,245,1227
1207,246,661
683,247,3555
1370,248,307
438,249,234
,250,2364
,251,2857
,252,3898
,253,2857
8448,254,857
112,255,874
320,256,1968
,257,2364
4,258,1852
,259,2364
211,260,3555
295,261,1666
,262,761
437,263,772
,263,1666
437,263,772
,263,1666
,264,2993
143,265,201
337,266,257
,267,8
1393,268,1899
5,269,772
,270,1557
,271,1227
822,272,3295
34,273,3232
20060,274,2920
,275,3898
153,276,1134
1469,277,322
46210,278,861
10080,279,1599
2684,280,802
5824,281,2006
51,282,40
223,283,2824
3912,284,600
3036,285,3295
,286,599
117,287,1735
142,288,1035
179,289,1682
,290,1566
5001,291,1852
24,292,2003
3056,293,3027
209,294,2231
649,295,3311
66,296,3568
55,297,2086
,298,3898
1075,299,600
3261,300,1134
,301,2364
20,302,3787
3970,303,3027
2857,304,2401
42,305,2719
13,306,1420
,307,686
5698,308,600
1508,309,2720
,310,3207
296,311,556
,312,761
,313,1227
1206,314,3192
14,315,3699
1355,316,1543
,317,3217
1230,318,238
,319,2231
48,320,600
,321,714
,322,3898
326,323,3792
385,324,3617
284,325,3481
41,326,2385
25755,327,1178
393,328,2914
1562,329,2917
,329,3685
1562,329,2917
,329,3685
4713,330,425
88,331,238
1838,332,2231
1957,333,3703
,334,612
4674,335,3719
,336,3898
2110,337,2364
3243,338,1812
102,339,1175
968,340,600
764,341,1151
60,342,725
17,343,1106
7460,344,2589
17,345,1987
55,346,2391
3547,347,654
53,348,1787
40,349,1899
,350,2364
81,351,2364
187,352,2280
,353,2763
53,354,2307
341,355,2486
2931,356,1303
2113,357,2915
362,358,2302
24,359,2110
12,360,3841
,361,582
1241,362,510
334,363,490
415,364,2019
90,365,250
,366,3898
15,367,1493
349,368,2086
1485,369,1899
,370,3898
1076,371,3289
,372,3863
121,373,2213
90,374,3849
,375,2793
109,376,190
33302,377,3726
,378,3330
298,379,2924
,380,2364
1424,381,3898
11,382,484
1093,383,3439
158,384,3123
3650,385,370
2006,386,150
,387,1640
1995,388,1511
1972,389,1065
17378,390,566
1250,391,452
6167,392,3337
18,393,1181
5361,394,1739
647,395,2509
3433,396,3565
3898,397,1623
113,398,1089
1711,399,366
552,400,1127
64,401,2495
179,402,2453
152,403,1565
68,404,413
1,405,3884
2328,406,2160
2332,407,1223
215,408,361
,409,1837
,410,1534
4799,411,150
582,412,458
,413,2364
3819,414,3870
249,415,2066
70,416,2655
,417,2264
,418,1825
249,419,2282
441,420,3295
81,421,2045
,422,3898
1952,423,510
105,424,1175
,425,3805
1112,426,1162
343,427,495
4,428,113
169,429,126
16,430,2524
,431,965
,432,3898
319,433,2516
676,434,126
100,435,42
8,436,2110
1483,437,2364
49,438,1582
1731,439,2771
185,440,3383
,441,3329
,442,1774
99,443,2752
25,444,27
,445,3037
113,446,1852
,447,1480
138,448,3869
11,449,832
13441,450,566
62,451,1631
,452,79
263,453,2364
29,454,313
214,455,234
663,456,3764
4001,457,101
,458,2364
57,459,2575
237,460,510
1176,461,1942
10,462,1084
1549,463,3707
2236,464,3752
3,465,1154
12,466,3508
165,467,3112
768,468,2566
,469,3863
368,470,3230
1316,471,3362
,472,2369
1242,473,119
2047,474,3027
525,475,3808
1892,476,2622
,477,2364
2232,478,3572
549,479,3699
25329,480,1178
10855,481,3726
1687,482,2019
33,483,2027
,484,875
200,485,3572
15,486,3794
112,487,361
,488,3180
,489,3343
,490,3504
102,491,608
396,492,3508
1307,493,3462
192,494,1875
,495,257
187,496,3112
644,497,3329
784,498,441
21,499,3773
745,500,1852
24,501,3232
666,502,2812
1219,503,2478
520,504,1089
39,505,1582
1040,506,910
5749,507,729
208,508,1928
,509,2364
,510,2231
84,511,1231
913,512,2999
21,513,2699
834,514,458
255,515,238
,516,2364
1838,517,696
28,518,3232
,519,3898
54,520,3550
40,521,464
1081,522,150
3761,523,2763
71,524,3210
149,525,1439
554,526,2018
172,527,1178
6605,528,1396
2776,529,2182
1367,530,380
1770,531,510
66,532,1065
3093,533,2597
15,534,1603
1110,535,3898
14520,536,252
,537,3060
91,538,1134
1505,539,1825
494,540,153
1566,541,3764
190,542,3007
14,543,1582
,544,1835
51126,545,2012
241,546,1026
3894,547,3565
683,548,1853
59,549,1987
,549,3178
59,549,1987
,549,3178
539,550,1061
42,551,2741
,552,3060
144,553,3808
205,554,490
48,555,1520
,556,162
1641,557,2098
1,558,3465
28,559,1567
1802,560,2584
181,561,728
756,562,2346
594,563,1666
1474,564,162
103,565,1175
,566,519
68,567,361
5755,568,3288
147,569,3794
,570,3556
97,571,1864
7,572,15
15,573,2410
784,574,3487
,575,2364
,576,2033
102,577,3096
2735,578,965
301,579,257
3633,580,3859
1545,581,3617
,582,34
303,583,1648
,584,1014
11935,585,3056
1,586,2752
2606,587,1279
358,588,1882
,589,3621
3,590,521
,591,2364
73,592,2094
,593,3624
4674,594,3849
1520,595,1666
129,596,2784
8,597,739
1450,598,2845
,599,3165
,600,3898
1166,601,431
93,602,1631
363,603,726
78,604,257
1553,605,1787
,606,2486
,607,509
,608,982
5345,609,1277
,610,2264
162,611,510
,612,971
24,613,3230
11939,614,2457
327,615,1197
264,616,910
4266,617,3368
,618,2280
8,619,3232
71,620,3772
,621,3898
4406,622,566
188,623,1305
,624,3863
,625,969
706,626,2364
96,627,2307
37,628,2388
105,629,472
,630,441
7,631,2779
,632,3037
197,633,2280
15,634,3232
621,635,238
149,636,113
69,637,380
,638,3288
,639,2793
,640,50
250,641,1231
3,642,719
364,643,1837
2672,644,2747
955,645,2364
884,646,959
1056,647,2364
523,648,638
17,649,1852
8,650,2364
21,651,51
52,652,1258
,653,729
,654,2657
380,655,1147
325,656,2142
222,657,665
731,658,2486
1875,659,2972
722,660,1520
,661,1666
273,662,2509
,663,1582
19411,664,3027
,665,2364
36,666,3590
5767,667,3189
314,668,1147
12949,669,1178
,670,687
,671,3624
,672,432
98,673,1933
1268,674,1899
1375,675,3123
,676,3699
413,677,3733
,678,3898
17929,679,661
26,680,1211
1442,681,3764
166,682,259
46,683,1484
18,684,1666
,685,1911
,686,3898
,687,1790
74,688,1147
,689,1821
857,690,150
